54;Provincia;-26.875397;-54.651695;IGN;AR-N;Misiones;Misiones;Provincia de Misiones
74;Provincia;-33.757725;-66.02813;IGN;AR-D;San Luis;San Luis;Provincia de San Luis
70;Provincia;-30.865368;-68.88949;IGN;AR-J;San Juan;San Juan;Provincia de San Juan
30;Provincia;-32.058872;-59.201447;IGN;AR-E;Entre Ríos;Entre Ríos;Provincia de Entre Ríos
78;Provincia;-48.815487;-69.955765;IGN;AR-Z;Santa Cruz;Santa Cruz;Provincia de Santa Cruz
14;Provincia;-32.142933;-63.801754;IGN;AR-X;Córdoba;Córdoba;Provincia de Córdoba
50;Provincia;-34.629887;-68.58312;IGN;AR-M;Mendoza;Mendoza;Provincia de Mendoza
46;Provincia;-29.685776;-67.18173;IGN;AR-F;La Rioja;La Rioja;Provincia de La Rioja
10;Provincia;-27.335833;-66.947685;IGN;AR-K;Catamarca;Catamarca;Provincia de Catamarca
42;Provincia;-37.131554;-65.446655;IGN;AR-L;La Pampa;La Pampa;Provincia de La Pampa
86;Provincia;-27.782412;-63.252388;IGN;AR-G;Santiago del Estero;Santiago del Estero;Provincia de Santiago del Estero
18;Provincia;-28.774305;-57.80122;IGN;AR-W;Corrientes;Corrientes;Provincia de Corrientes
82;Provincia;-30.706926;-60.949837;IGN;AR-S;Santa Fe;Santa Fe;Provincia de Santa Fe
90;Provincia;-26.9478;-65.36476;IGN;AR-T;Tucumán;Tucumán;Provincia de Tucumán
58;Provincia;-38.641758;-70.11857;IGN;AR-Q;Neuquén;Neuquén;Provincia del Neuquén
66;Provincia;-24.299135;-64.81446;IGN;AR-A;Salta;Salta;Provincia de Salta
22;Provincia;-26.38643;-60.76583;IGN;AR-H;Chaco;Chaco;Provincia del Chaco
34;Provincia;-24.894972;-59.93244;IGN;AR-P;Formosa;Formosa;Provincia de Formosa
38;Provincia;-23.320078;-65.76425;IGN;AR-Y;Jujuy;Jujuy;Provincia de Jujuy
2;Ciudad Autónoma;-34.614494;-58.445858;IGN;AR-C;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires
6;Provincia;-36.67694;-60.55883;IGN;AR-B;Buenos Aires;Buenos Aires;Provincia de Buenos Aires
94;Provincia;-82.521515;-50.74275;IGN;AR-V;Tierra del Fuego;Tierra del Fuego;Antártida e Islas del Atlántico Sur
